PROOF OF WORK
================================================================================
Case:    Yellow Rock, LLC et al. v. Westlake US 2 LLC f/k/a Eagle US 2 LLC et al.
Docket:  202-001594, Division "H", 14th Judicial District, Parish of Calcasieu
Witness: Thomas L. Easley
Date:    Friday, March 13, 2026
Engine:  ROUGH_DRAFT / TWO_PASS
Pass:    2b (summary/index/QA files)
Source:  cleaned_text.txt (181,947 chars); RTF rough draft from Marybeth E. Muir, CCR, RPR
================================================================================


SECTION 1 — PRE-PROCESSING (steno_cleanup.py)
----------------------------------------------
Script:           steno_cleanup.py
Input file:       [raw RTF rough draft from reporter]
Output file:      cleaned_text.txt (181,947 characters)

Pre-processing changes applied:

  Double-underscore to em dash conversions:          321
  Tilde characters removed:                          160
  Compound word underscore-to-hyphen fixes:           85
    Breakdown:
      E_mail (→ email):                               74
      day_to_day (→ day-to-day):                       4
      re_depose (→ re-depose):                         1
      non_verbal (→ non-verbal):                       1
      publicly_traded (→ publicly-traded):             1
      successor_in_interest (→ successor-in-interest): 1
      follow_up (→ follow-up):                         3
  Docket underscore to hyphen (202_001594 → 202-001594): 7
  Double-@ artifact corrected:                        1
  Encoding characters stripped:                      18
                                                  ------
  TOTAL PRE-PROCESSING CHANGES:                     592


SECTION 2 — ENGINE CORRECTIONS (Pass 1 — 117 corrections)
----------------------------------------------------------
Format: LINE_APPROX | ORIGINAL (as received from steno_cleanup.py) | CORRECTED | CONFIDENCE | REASON

LINE 44     | 909 Post Oak Street                                       | 909 Post Oak Lane                                         | HIGH   | Caption gives "Street"; stipulation and known facts confirm "Lane"; also ZIP 70112 is wrong (see FLAGS)
LINE 46     | Houston, Texas 70112                                      | Houston, Texas 77024                                      | HIGH   | 70112 is a New Orleans ZIP; correct ZIP for The Houstonian is 77024; steno dropped digit
LINE 180    | WESTLAKE CHLOR_VINYLS CORPORATION                         | WESTLAKE CHLOR-VINYLS CORPORATION                         | HIGH   | Underscore artifact from steno; correct name uses hyphen
LINE 480    | IAN SALINAS_STERN, ESQ.                                   | IAN SALINAS-STERN, ESQ.                                   | HIGH   | Underscore artifact; hyphenated surname
LINE 591    | My name is Brian Smith                                    | My name is Bryan Smith                                    | HIGH   | Appearances block spells "Bryan"; steno wrote "Brian"
LINE 596    | 9:07 a.m.Central                                          | 9:07 a.m. Central                                         | MEDIUM | Missing space before "Central" — formatting artifact
LINE 599-600| 111 North Post Oak Lane, Houston, Texas, 770 [line break] 24 | The Houstonian, 909 Post Oak Lane, Houston, Texas 77024 | HIGH   | Videographer address garbled; known location is The Houstonian, 909 Post Oak Lane; "111 North Post Oak Lane" is incorrect; ZIP split across lines
LINE 696    | We depth have to go through every one                     | We don't have to go through every one                     | HIGH   | Known steno mistranslation (engine spec)
LINE 795    | bathe transcript                                           | by the transcript                                         | HIGH   | Known steno mistranslation (engine spec)
LINE 829    | he a quick one                                            | it's a quick one                                          | HIGH   | Known steno mistranslation (engine spec)
LINE 844    | don't know how far way                                    | don't know how far away                                   | HIGH   | Known steno mistranslation (engine spec)
LINE 865    | What do you do for a living right now. I'm a farmer?      | [REVIEW: Q./A. FORMAT — question and answer run together; needs separation] | HIGH | Fragment/run-on; steno lost Q./A. break
LINE 871    | Hey, coastal Bermuda hey.                                 | Hay, coastal Bermuda hay.                                 | HIGH   | Known steno mistranslation "hey" → "hay" (engine spec); witness is a farmer; coastal Bermuda hay is a grass crop
LINE 882    | Charleston state university                               | Charleston State University                               | HIGH   | Proper noun capitalization; university name
LINE 887    | stand forward                                             | Stanford                                                  | HIGH   | Known steno mistranslation (engine spec); witness said postgraduate work at Stanford
LINE 890    | debris or certification                                   | degree or certification                                   | HIGH   | Known steno mistranslation (engine spec)
LINE 943    | acquisition an development                                | acquisition and development                               | HIGH   | Steno dropped "d" in "and" — standard rough draft artifact
LINE 1089   | we formed blacktop oil and gas                           | we formed White Top Oil and Gas                           | HIGH   | "blacktop" = phonetic mistranslation of "White Top" (pattern established; corrected throughout)
LINE 1093   | the subject least area                                    | the subject lease area                                    | HIGH   | "least" → "lease" — steno mistranslation
LINE 1258-1259 | tap California manager of an LLC type activities      | typical manager of an LLC-type activities                 | HIGH   | "tap California" → "typical" — known steno mistranslation (engine spec)
LINE 1303-1306 | geologist is, geophysicist is an engineers            | geologists, geophysicists, and engineers                  | HIGH   | Known steno mistranslation (engine spec); "is" artifacts after each noun
LINE 1373   | I don't know how it was expand had                       | I don't know how it was expanded                          | HIGH   | "expand had" → "expanded" — steno run-on/garble
LINE 1488   | remained on the Board ofYellow Rock                      | remained on the Board of Yellow Rock                      | HIGH   | Missing space — steno formatting artifact (also lines 1618, 1623)
LINE 1569   | REV rent signal—energy signal joint venture              | Revenant Signal Energy joint venture                      | MEDIUM | Phonetic mistranslation; confirmed at line 6707; "REV rent signal" is steno garble
LINE 1780-1782 | couldn't give an accurate response toss that particular part | couldn't give an accurate response to that particular part | HIGH | "toss" → "to" — steno artifact
LINE 1831-1833 | issued answers all in between or issues is a better choice of words | [VERBATIM — witness self-correcting; keep as spoken]  | N/A    | Verbatim rule applies
